OBJECTID,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,NOM_LOC,pop_t,pop_m,pop_h,pob_nat,pob_for,pob_dis,pop_ssal,viv_t,viv_hab,H3,H4,TT,H5,H1,H2,inun_pluv,licuefacc,nivel-mar,tsunami,fallas_fra,inun_fluvi
"2697","1802000690535003","18","020","0069","0535","003",Urbana,Típica,El Porvenir,"93","46","47","44","49","0","57","30","25",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"2698","1802000690535002","18","020","0069","0535","002",Urbana,Típica,El Porvenir,"58","29","29","27","30","0","26","17","15",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"2699","1802000690535033","18","020","0069","0535","033",Urbana,Típica,El Porvenir,"87","39","48","25","57","5","25","23","22",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"2700","1802000690535031","18","020","0069","0535","031",Urbana,Típica,El Porvenir,"85","49","36","31","54","10","14","29","25",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,1.194826927511692,0.000000000000000,0.000000000000000
"2701","1802000690535028","18","020","0069","0535","028",Urbana,Típica,El Porvenir,"19","9","10","4","15","0","10","6","5",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"2702","1802000690535027","18","020","0069","0535","027",Urbana,Típica,El Porvenir,"36","18","18","17","19","7","4","14","11",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"2703","1802000690535012","18","020","0069","0535","012",Urbana,Típica,El Porvenir,"77","37","40","48","28","5","16","31","26",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"2704","1802000690535013","18","020","0069","0535","013",Urbana,Típica,El Porvenir,"162","79","83","75","87","6","62","43","39",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"2712","1802000691139003","18","020","0069","1139","003",Urbana,Típica,El Porvenir,"18","10","8","0","17","0","0","3","3",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"2727","1802000530944022","18","020","0053","0944","022",Urbana,Típica,Mezcales,"11","6","5","0","10","0","0","15","4",0.000000000000000,0.000000000000000,0.000000000000000,1.349968404174359,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2728","1802000530944021","18","020","0053","0944","021",Urbana,Típica,Mezcales,"0","0","0","0","0","0","0","0","0",0.000000000000000,0.000000000000000,0.000000000000000,42.165423568694521,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2729","1802000530944020","18","020","0053","0944","020",Urbana,Típica,Mezcales,"31","15","16","10","19","0","8","15","14",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2730","1802000530944019","18","020","0053","0944","019",Urbana,Típica,Mezcales,"11","6","5","0","11","0","5","7","4",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,83.973801587869417,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2731","1802000530944018","18","020","0053","0944","018",Urbana,Típica,Mezcales,"4","3","0","0","3","0","3","11","3",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,71.446080435612870,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2732",180200053093A003,"18","020","0053",093A,"003",Urbana,Típica,Mezcales,"157","82","75","60","94","3","22","50","46",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,75.611536377999386,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
